,Order,Level,Length,Add
1,1,1,0.178808,DMSO
2,1,1,0.278146,DMSO
3,1,1,0.258278,DMSO
4,1,1,0.198675,DMSO
5,1,1,0.238411,DMSO
6,2,1,0.231788,DMSO
7,2,1,0.218543,DMSO
8,2,1,0.185549,DMSO
9,2,1,0.15894,DMSO
10,2,1,0.154967,DMSO
11,3,1,0.189326,DMSO
12,3,1,0.189326,DMSO
13,3,1,0.236658,DMSO
14,3,1,0.257694,DMSO
15,4,1,0.16829,DMSO
16,4,1,0.252435,DMSO
17,4,1,0.205103,DMSO
18,4,1,0.341839,DMSO
19,4,1,0.231399,DMSO
30,1,1,0.268212,DMSO
31,1,1,0.184067,DMSO
32,1,3,0.201245,200ng/6ul
33,1,3,0.185185,200ng/6ul
34,1,3,0.160494,200ng/6ul
35,2,3,0.154321,200ng/6ul
36,2,3,0.141975,200ng/6ul
37,2,3,0.246914,200ng/6ul
38,2,3,0.197531,200ng/6ul
39,2,3,0.12963,200ng/6ul
40,3,3,0.203704,200ng/6ul
41,3,3,0.224289,200ng/6ul
42,3,3,0.104938,200ng/6ul
43,3,3,0.123457,200ng/6ul
44,3,3,0.141975,200ng/6ul
45,4,3,0.12963,200ng/6ul
46,4,3,0.12963,200ng/6ul
47,4,3,0.123457,200ng/6ul
48,4,3,0.135802,200ng/6ul
49,5,3,0.148148,200ng/6ul
50,5,3,0.234568,200ng/6ul
51,5,3,0.166667,200ng/6ul
52,5,3,0.154321,200ng/6ul
53,5,3,0.166667,200ng/6ul
54,5,3,0.166667,200ng/6ul
55,5,3,0.154321,200ng/6ul
56,5,3,0.117284,200ng/6ul
